"id","title","slug","risk_score","salary","growth_rate","demand_level","description","created_at","calculated_risk","polling_risk","votes_count","hourly_salary","growth_projection_year","volume","job_score","ai_analysis","synonyms","job_code"
"00055326-f0f9-404d-89cf-4250b734fcea","Real Estate Engineer","real-estate-engineer","53","₹5,00,000 - ₹16,00,000","Steady","Low","A Real Estate Engineer is an occupation specializing in engineer within the Real Estate domain. The automation risk for this role is currently rated at 53%.","2026-03-27 08:53:10.640939",,,"0",,,,,,"Engineer, Real Estate Specialist","AIVSME:YZUD8JN"
"001705da-50b4-4a23-b659-4e676322991e","Stationary Engineers and Boiler Operators","stationary-engineers-and-boiler-operators","43","₹4,00,000 - ₹18,00,000","Steady","Low","A Stationary Engineers and Boiler Operators is a professional role involving various specialized tasks. The risk of automation is estimated at 43% based on market trends.","2026-03-27 08:53:08.737783",,,"0",,,,,,"Stationary Engineers and Boiler Operators, Stationary Engineers, Boiler Operators","AIVSME:YOCETCF"
"001e4c0c-fcad-4368-b47d-189e0b0e0308","Motion Picture Projectionists","motion-picture-projectionists","68","₹4,00,000 - ₹18,00,000","Steady","Very High","A Motion Picture Projectionists is a professional role involving various specialized tasks. The risk of automation is estimated at 68% based on market trends.","2026-03-27 08:53:08.232549",,,"0",,,,,,"Motion Picture Projectionists","AIVSME:M0DSEGE"
"00261220-54b6-4ddf-a32b-885a10bff880","Digital Marketing Lead","digital-marketing-lead","66","₹6,00,000 - ₹25,00,000","Steady","High","A Digital Marketing Lead is an occupation specializing in lead within the Digital Marketing domain. The automation risk for this role is currently rated at 66%.","2026-03-27 08:53:14.025718",,,"0",,,,,,"Lead, Digital Marketing Specialist","AIVSME:KEEWROJ"
"00539b8d-59c9-41fe-9210-c00919be243f","First-Line Supervisors of Personal Service Workers","first-line-supervisors-of-personal-service-workers","61","₹4,00,000 - ₹18,00,000","Steady","Medium","A First-Line Supervisors of Personal Service Workers is a professional role involving various specialized tasks. The risk of automation is estimated at 61% based on market trends.","2026-03-27 08:53:07.524697",,,"0",,,,,,"First-Line Supervisors of Personal Service Workers","AIVSME:1S888V6"
"0064c9c1-bfe4-4225-873b-1b35c5f2e21d","Medical Equipment Repairers","medical-equipment-repairers","84","₹4,00,000 - ₹18,00,000","Declining","Medium","A Medical Equipment Repairers is a professional role involving various specialized tasks. The risk of automation is estimated at 84% based on market trends.","2026-03-27 08:53:08.232549",,,"0",,,,,,"Medical Equipment Repairers","AIVSME:JXELOGJ"
"00875788-64e6-4984-b809-0ada6e431168","Gambling Surveillance Officers and Gambling Investigators","gambling-surveillance-officers-and-gambling-investigators","55","₹4,00,000 - ₹18,00,000","Steady","Medium","A Gambling Surveillance Officers and Gambling Investigators is a professional role involving various specialized tasks. The risk of automation is estimated at 55% based on market trends.","2026-03-27 08:53:07.524697",,,"0",,,,,,"Gambling Surveillance Officers and Gambling Investigators, Gambling Surveillance Officers, Gambling Investigators","AIVSME:SWXNL22"
"00dcd44f-b4e8-411f-8040-0422f3bfbae7","Blockchain Writer","blockchain-writer","7","₹12,00,000 - ₹12,00,000","High","Low","A Blockchain Writer is an occupation specializing in writer within the Blockchain domain. The automation risk for this role is currently rated at 7%.","2026-03-27 08:53:12.096286",,,"0",,,,,,"Writer, Blockchain Specialist","AIVSME:OZP7LNR"
"00ebff09-8f89-410d-8cb3-d188de7ae1dc","Non-Profit Manager","non-profit-manager","41","₹10,00,000 - ₹15,00,000","Steady","Low","A Non-Profit Manager is an occupation specializing in manager within the Non-Profit domain. The automation risk for this role is currently rated at 41%.","2026-03-27 08:53:11.374437",,,"0",,,,,,"Manager, Non-Profit Specialist","AIVSME:KVOWUP8"
"01377dc0-51de-40a7-aa61-c0a659699d2e","Wellhead Pumpers","wellhead-pumpers","21","₹4,00,000 - ₹18,00,000","High","Low","A Wellhead Pumpers is a professional role involving various specialized tasks. The risk of automation is estimated at 21% based on market trends.","2026-03-27 08:53:08.977539",,,"0",,,,,,"Wellhead Pumpers","AIVSME:MCE2P30"
